DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3/26/2018,11:00,QUEENS,11374,40.728184,-73.86631,"(40.728184, -73.86631)",AUSTIN STREET                   ,63 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3869932,TAXI,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:00,QUEENS,11385,40.710728,-73.91863,"(40.710728, -73.91863)",ONDERDONK AVENUE                ,TROUTMAN STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3870037,TK,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:00,QUEENS,11423,40.713154,-73.77025,"(40.713154, -73.77025)",,,90-46     190 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,3869832,PASSENGER VEHICLE,,,,
3/26/2018,11:00,QUEENS,11691,40.60457,-73.75355,"(40.60457, -73.75355)",MOTT AVENUE                     ,BEACH 21 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3870072,VN,BU,,,
3/26/2018,11:00,QUEENS,11691,40.596325,-73.76673,"(40.596325, -73.76673)",SEAGIRT BOULEVARD               ,ROCKAWAY FREEWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3870172,PASSENGER VEHICLE,BU,,,
3/26/2018,11:00,,,40.76849,-73.776215,"(40.76849, -73.776215)",35 AVENUE                       ,211 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3869689,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:00,,,40.734974,-73.97987,"(40.734974, -73.97987)",EAST 20 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869875,PASSENGER VEHICLE,TAXI,,,
3/26/2018,11:00,,,40.704544,-73.727234,"(40.704544, -73.727234)",CROSS ISLAND PARKWAY            ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3869745,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3/26/2018,11:00,,,40.73549,-73.859634,"(40.73549, -73.859634)",LONG ISLAND EXPRESSWAY          ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,,,3869968,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,
3/26/2018,11:09,QUEENS,11422,40.664677,-73.73799,"(40.664677, -73.73799)",MEMPHIS AVENUE                  ,241 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3869744,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:10,MANHATTAN,10028,40.77831,-73.962776,"(40.77831, -73.962776)",EAST 81 STREET                  ,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3870814,PASSENGER VEHICLE,,,,
3/26/2018,11:10,,,40.680225,-74.00481,"(40.680225, -74.00481)",BROOKLYN QUEENS EXPRESSWAY RAMP ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869785,TAXI,PASSENGER VEHICLE,,,
3/26/2018,11:10,BROOKLYN,11236,40.63084,-73.903076,"(40.63084, -73.903076)",AVENUE M                        ,EAST 84 STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3869987,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3/26/2018,11:11,BROOKLYN,11208,40.684555,-73.8704,"(40.684555, -73.8704)",,,240       AUTUMN AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,3869830,PASSENGER VEHICLE,,,,
3/26/2018,11:11,MANHATTAN,10018,40.75317,-73.986084,"(40.75317, -73.986084)",,,108       WEST 39 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869819,SPORT UTILITY / STATION WAGON,TK,,,
3/26/2018,11:13,BROOKLYN,11218,40.645107,-73.97989,"(40.645107, -73.97989)",MC DONALD AVENUE                ,ALBEMARLE ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3871200,SPORT UTILITY / STATION WAGON,DS,,,
3/26/2018,11:13,,,40.84525,-73.91499,"(40.84525, -73.91499)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3870863,SPORT UTILITY / STATION WAGON,,,,
3/26/2018,11:15,,,40.87356,-73.81853,"(40.87356, -73.81853)",HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3869883,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
3/26/2018,11:20,BROOKLYN,11217,40.686085,-73.982666,"(40.686085, -73.982666)",ATLANTIC AVENUE                 ,NEVINS STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3869798,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE,,
3/26/2018,11:23,MANHATTAN,10036,40.75636,-73.987755,"(40.75636, -73.987755)",,,218       WEST 42 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3869820,BU,VAN,,,
3/26/2018,11:25,BRONX,10452,40.84543,-73.91399,"(40.84543, -73.91399)",JEROME AVENUE                   ,EAST 174 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3869872,PICK-UP TRUCK,PASSENGER VEHICLE,,,
3/26/2018,11:26,,,40.579372,-74.16948,"(40.579372, -74.16948)",RICHMOND AVENUE                 ,PLATINUM AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3869706,SPORT UTILITY / STATION WAGON,CONV,,,
